epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2572,1.4019,1.79674,1.55773,0.4047,0.52837,0.42697,0.24332,1.45853,2.98092,1.9225,0.000328283,0.000328283,0.0675
2,76.4367,1.54944,1.5807,1.63887,0.43785,0.38121,0.35055,0.16492,1.80785,4.14974,2.58933,0.000661598,0.000661598,0.0345
3,117.423,1.58696,1.63845,1.67549,0.47976,0.35106,0.3815,0.20293,1.85676,6.13573,2.45861,0.000994841,0.000994841,0.00149989
4,152.1,1.55493,1.54036,1.6322,0.53522,0.20035,0.19565,0.11907,2.27793,3.99507,2.55223,0.000999756,0.000999756,0.000999756
5,185.56,1.51681,1.56259,1.63619,0.55204,0.4539,0.44778,0.2551,1.85437,3.58396,2.11587,0.000999566,0.000999566,0.000999566
6,218.486,1.5442,1.51935,1.62213,0.61969,0.53191,0.57343,0.31922,1.54854,2.21162,1.84579,0.000999322,0.000999322,0.000999322
7,251.163,1.47205,1.46803,1.57429,0.66041,0.60284,0.65454,0.39271,1.48604,2.41182,1.77828,0.000999023,0.000999023,0.000999023
8,284.055,1.44607,1.40327,1.53167,0.66916,0.65426,0.7194,0.43928,1.37862,1.78321,1.67471,0.000998671,0.000998671,0.000998671
9,317.064,1.39654,1.33242,1.5436,0.73261,0.60725,0.69631,0.42206,1.43079,1.44229,1.69595,0.000998264,0.000998264,0.000998264
10,349.964,1.38797,1.3287,1.51684,0.77737,0.65603,0.74353,0.44048,1.39423,1.44376,1.618,0.000997803,0.000997803,0.000997803
11,382.845,1.40346,1.31813,1.51622,0.71012,0.62112,0.68885,0.40334,1.43769,1.57295,1.66443,0.000997288,0.000997288,0.000997288
12,415.815,1.3947,1.29552,1.51049,0.76126,0.63886,0.74794,0.44846,1.32814,1.73058,1.61409,0.00099672,0.00099672,0.00099672
13,448.822,1.30154,1.18415,1.43301,0.76435,0.56935,0.68309,0.40067,1.48253,1.46236,1.77184,0.000996097,0.000996097,0.000996097
14,481.68,1.33695,1.23359,1.47603,0.72338,0.66844,0.74257,0.45749,1.36689,1.36455,1.62253,0.00099542,0.00099542,0.00099542
15,514.754,1.28671,1.24651,1.48302,0.78621,0.61702,0.72942,0.45064,1.36314,1.28675,1.60174,0.00099469,0.00099469,0.00099469
16,547.806,1.28008,1.18347,1.43328,0.76382,0.68794,0.76357,0.48211,1.36482,1.23644,1.62296,0.000993906,0.000993906,0.000993906
