merged_image_id,source_archive,source_frame_id,source_ordinal,image_name,width,height,box_count,yolo_label_path,image_file_present,image_sha256
0,şeyda.zip,0,1,aa_poh_galeriler/aa_poh_galeriler_g00_000.jpg,1120,630,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_000.txt,true,82a598da0f90928b625fc840eca3f329dc1a3c81bc826f257015e3b5e78a30c2
1,şeyda.zip,1,2,aa_poh_galeriler/aa_poh_galeriler_g00_001.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_001.txt,true,f6b0ffc54dc078fc06c20d63941bb7afa4989d4452ad3a1affd3ae5adfcd2032
2,şeyda.zip,2,3,aa_poh_galeriler/aa_poh_galeriler_g00_002.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_002.txt,true,54db25c221a0663056fb1714bd081ee33141215db04e6033f60eb2c267ab6035
3,şeyda.zip,3,4,aa_poh_galeriler/aa_poh_galeriler_g00_003.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_003.txt,true,4cafaac4686ea23a16f803cbca32d20e5a27d3fb58a49bf0a89a46372fb48042
4,şeyda.zip,4,5,aa_poh_galeriler/aa_poh_galeriler_g00_004.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_004.txt,true,e42e5527b054d52ee832bba10ade57f5b7b0b8def48bfdd2d156e00969f9c65b
5,şeyda.zip,5,6,aa_poh_galeriler/aa_poh_galeriler_g00_005.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_005.txt,true,f3865f7df40b61edf7eaaca87ed703e575a2771e1be38d2fa5c5e2f1bddfa43d
6,şeyda.zip,6,7,aa_poh_galeriler/aa_poh_galeriler_g00_006.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_006.txt,true,6fef2b6d4c84a0d1f92a707e6469147f7cc8d883f39643870405547dc6d4e710
7,şeyda.zip,7,8,aa_poh_galeriler/aa_poh_galeriler_g00_007.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_007.txt,true,b5dcfa8ab37a3104bf0119efb34bb97761df0c6aa2489098c9510d06a0ad2727
8,şeyda.zip,8,9,aa_poh_galeriler/aa_poh_galeriler_g00_008.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_008.txt,true,77c0bb709f6a67967f40bfe959c10d0e1860106bcfe41e2279ffd2e5a2cfcd02
9,şeyda.zip,9,10,aa_poh_galeriler/aa_poh_galeriler_g00_009.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g00_009.txt,true,a89eac1f6ab4ab883420f4aa9a97d00fee7e131798623f56a81620f2c780211d
10,şeyda.zip,10,11,aa_poh_galeriler/aa_poh_galeriler_g01_001.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_001.txt,true,86e2af79c72a69adaaef0165cdb0e0333c1fecfdb2c4ac15f19ca0ba59ca5ede
11,şeyda.zip,11,12,aa_poh_galeriler/aa_poh_galeriler_g01_002.jpg,954,636,4,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_002.txt,true,177a6cde5cb30246d34a5e3785d339a07db6fa390c3c8d58405ee5861834814a
12,şeyda.zip,12,13,aa_poh_galeriler/aa_poh_galeriler_g01_003.jpg,954,636,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_003.txt,true,c7bdd259fde2897b1f415d9df187ad96978765b915da65fc22e5e8b2e7d426e3
13,şeyda.zip,13,14,aa_poh_galeriler/aa_poh_galeriler_g01_004.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_004.txt,true,5285ec40174c8d81369957b7f7b4ef3868b1449ae5ba569f7d1d75fc521977b6
14,şeyda.zip,14,15,aa_poh_galeriler/aa_poh_galeriler_g01_005.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_005.txt,true,d79073d0a911b2c59cbafc80a0e1fa9ee755d272e01f6d1ee5bb92d9f36ab10b
15,şeyda.zip,15,16,aa_poh_galeriler/aa_poh_galeriler_g01_006.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_006.txt,true,cda7405d2af05f8f67e2c2128b184a46b4ffb71145fcffd8f45eda099e78c036
16,şeyda.zip,16,17,aa_poh_galeriler/aa_poh_galeriler_g01_007.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_007.txt,true,d5d9cd23da8e60af75eeee66abae45fc02f0143e20cdbee79c3c153763e85bb2
